salary,job_id,bottomSalary,company,time,address,topSalary,job_name
1.5-3万/月,91279572,15.0,厦门至恒融兴信息技术有限公司,12-04,上海,30.0,大数据分析工程师
1.5-2万/月,87118736,15.0,上海钜真金融信息服务有限公司,12-04,深圳-南山区,20.0,系统运维工程师（深圳）
2.5-5万/月,96528022,25.0,深圳艾诺管理咨询有限公司,12-04,异地招聘,50.0,高级/资深数据挖掘工程师
10-20万/年,96526250,8.33333333333,贵州广思信息网络有限公司,12-04,广州,16.6666666667,系统运维工程师
4.5-9千/月,89669002,4.5,苏州奇梦者网络科技有限公司,12-04,苏州,9.0,Android开发工程师
1-1.5万/月,76401547,10.0,杭州优上科技有限公司,12-04,杭州-余杭区,15.0,运维工程师
0.8-1万/月,94588689,8.0,广东广宇科技发展有限公司,12-04,佛山,10.0,GIS开发工程师
0.5-1万/月,96214826,5.0,杭州赢莱金融信息服务有限公司,12-04,杭州-江干区,10.0,Java开发工程师
1-1.8万/月,95384280,10.0,北京万象合众企业管理有限公司,12-04,北京-海淀区,18.0,测试工程师（自动化方向）
0.6-1万/月,58238061,6.0,宁波市美灵思医疗科技有限公司,12-04,宁波,10.0,硬件工程师
1.5-2万/月,94718182,15.0,上海游英网络科技有限公司,12-04,上海,20.0,手游服务器端程序员
2.5-3万/月,96523784,25.0,北京摩拜科技有限公司,12-04,北京,30.0,监控研发工程师
1.5-2万/月,93087107,15.0,成都天奥测控技术有限公司,12-04,成都,20.0,软件架构设计师
0.5-1万/月,95786210,5.0,华通信安（北京）科技发展有限公司,12-04,西安,10.0,大数据分析工程师
1-1.5万/月,89024947,10.0,上海风游信息科技有限公司,12-04,上海,15.0,游戏运维工程师
2.5-4万/月,96261400,25.0,上海富贺网络科技有限公司,12-04,上海-浦东新区,40.0,区块链开发经理
1-2.5万/月,96127518,10.0,上海十露盘科技有限公司,12-04,上海-浦东新区,25.0,ETL专家/工程师
1.5-2万/月,95921056,15.0,北京修典知识产权代理有限公司,12-04,北京-海淀区,20.0,全栈工程师
1-1.8万/月,94747506,10.0,国久大数据有限公司,12-04,泸州,18.0,高级运维工程师
1-1.5万/月,89994232,10.0,北京紫马财行投资管理有限公司,12-04,北京-朝阳区,15.0,数据分析师（风控方向）
4.5-6千/月,95630474,4.5,中移在线服务有限公司,12-04,异地招聘,6.0,数据分析-互联网团队-郑州
1-1.5万/月,95688452,10.0,深圳市前海微谷创业投资股份有限公司,12-04,深圳-龙岗区,15.0,软件C++工程师
20-30万/年,91076201,16.6666666667,杭州艾米机器人有限公司,12-04,杭州-下城区,25.0,导航算法工程师
30-50万/年,85957712,25.0,亚坦能源科技（上海）有限公司,12-04,上海-徐汇区,41.6666666667,SAAS平台开发技术总监
1-1.5万/月,92869723,10.0,上海隆达软件股份有限公司,12-04,上海-浦东新区,15.0,Java中级开发工程师
4.5-6千/月,93994604,4.5,中山大学南方学院,12-04,广州-从化,6.0,中山大学南方学院2017-2018学年师资人才招聘启事
0.5-1万/月,95189055,5.0,强韵数据科技有限公司,12-04,武汉-洪山区,10.0,数据挖掘工程师
20-30万/年,93770434,16.6666666667,厦门嘉乐道科技有限公司,12-04,异地招聘,25.0,DSM
1-1.5万/月,96546772,10.0,米多财富管理有限公司,12-04,北京-西城区,15.0,Linux运维工程师
4.5-6千/月,96537236,4.5,北京融通智慧科技有限公司,12-04,北京-丰台区,6.0,运维工程师
1-1.5万/月,96535419,10.0,北京易华录信息技术股份有限公司,12-04,北京-石景山区,15.0,高级研发工程师（深度学习）-数据湖事业部
1-1.5万/月,96529373,10.0,中科软科技股份有限公司,12-04,北京-通州区,15.0,ETL开发工程师
10-15万/年,96515141,8.33333333333,华尔特人才咨询（上海）有限公司,12-04,广州-白云区,12.5,Tester 软件测试工程师
20-40万/年,94186779,16.6666666667,北京红橘科技有限公司,12-04,北京-海淀区,33.3333333333,运维高级工程师
1-1.5万/月,93651645,10.0,北京东方京融教育科技股份有限公司,12-04,北京-西城区,15.0,Web前端开发
1-1.5万/月,91447464,10.0,北京蓝晶视讯科技有限公司,12-04,深圳-龙华新区,15.0,测试工程师（android）
1-1.5万/月,88175649,10.0,北京华正明天信息技术股份有限公司,12-04,北京-海淀区,15.0,测试工程师
0.5-1万/月,72710328,5.0,上海哲山科技股份有限公司,12-04,上海-闵行区,10.0,测试工程师
1.5-2万/月,83603821,15.0,上海猎英人才服务有限公司,12-03,上海,20.0,Software Engineer
1-1.5万/月,92096108,10.0,因科汽车电子技术（沈阳）有限公司,12-03,异地招聘,15.0,Software Developer/软件开发工程师
25-45万/年,95642481,20.8333333333,杭州史尼芙贸易有限公司,12-03,异地招聘,37.5,系统运维/infra工程师（日语二级必须 日本工作）
1.5-2万/月,81640241,15.0,浙江力石科技股份有限公司,12-03,杭州,20.0,大数据研发工程师
0.8-1万/月,59715390,8.0,山东网聪信息科技有限公司,12-03,济南,10.0,.高级C++软件开发工程师
1-1.5万/月,96492888,10.0,上海华点云生物科技有限公司,12-03,异地招聘,15.0,数据分析/挖掘工程师
20-30万/年,96487722,16.6666666667,安信株式会社,12-03,异地招聘,25.0,赴日软件开发工程师
1-1.5万/月,80461170,10.0,北京永生鼎立信息技术有限公司,12-03,北京,15.0,C++软件工程师
1-1.5万/月,96480925,10.0,四川合纵医药股份有限公司,12-03,成都-金牛区,15.0,Mysql DBA
0.8-1万/月,91470441,8.0,荆州市智慧城市科技股份有限公司,12-03,荆州,10.0,云计算系统工程师
0.8-1万/月,68443760,8.0,上海火了信息科技有限公司,12-03,上海-普陀区,10.0,JAVA工程师/高级软件工程师（5-12K/月 自主产品开发）
1-1.5万/月,96476891,10.0,西安四维图新信息技术有限公司,12-03,西安-高新技术...,15.0,图像识别工程师
0.7-1万/月,96505290,7.0,深圳市科南软件有限公司,12-03,深圳,10.0,性能测试工程师
2.5-3万/月,96118521,25.0,上海哈池信息科技有限公司,12-03,上海-浦东新区,30.0,C++高级开发工程师
4.5-6千/月,95264719,4.5,成都成电大学科技园孵化器有限公司,12-03,成都-郫都区,6.0,Web开发工程师
1-1.5万/月,91486180,10.0,南京基食信息技术有限公司,12-02,南京-鼓楼区,15.0,高级爬虫工程师
1-1.5万/月,71522879,10.0,上海汉唐文化发展有限公司,12-02,上海,15.0,Linux 运维工程师
1-1.5万/月,96466107,10.0,天津海量信息技术股份有限公司北京...,12-02,异地招聘,15.0,智能计算研究员（NLP方向）
4.5-6千/月,96233789,4.5,湖南森普迅洁物联科技有限公司,12-02,异地招聘,6.0,PythonWeb开发
4.5-6千/月,90191101,4.5,河南紫光物联技术有限公司,12-02,郑州-高新区,6.0,高级测试工程师
1.5-2万/月,93964821,15.0,海南事达国际旅行社有限公司上海分...,12-02,上海,20.0,算法工程师 人工智能方向
1-1.5万/月,96312051,10.0,贝朗科技（武汉）有限公司,12-02,武汉-洪山区,15.0,大数据开发工程师/ETL开发工程师
0.5-1万/月,87272637,5.0,深圳市联合运通国际货运代理有限公司,12-02,深圳,10.0,服务器运维工程师
1.5-3万/月,96448055,15.0,比亚迪精密制造有限公司,12-02,深圳-龙岗区,30.0,高级软件工程师
1-1.5万/月,92777034,10.0,河北易骋云数据科技有限公司,12-02,杭州-江干区,15.0,测试工程师
1.5-2万/月,94598858,15.0,天津皿鎏软件有限公司,12-02,天津,20.0,技术美术师
2-2.5万/月,86628018,20.0,同方威视技术股份有限公司,12-02,北京-海淀区,25.0,机器人系统开发工程师
0.5-1万/月,96434570,5.0,通联支付网络服务股份有限公司湖南...,12-02,长沙,10.0,软件开发
1.5-2万/月,96435511,15.0,北京果壳宇宙教育科技有限公司,12-02,北京-东城区,20.0,PHP高级开发工程师
1-1.5万/月,96465936,10.0,优客逸家（成都）信息科技有限公司,12-02,成都,15.0,APP运营主管
4.5-6千/月,96455839,4.5,江西省创海科技有限公司,12-02,南昌-新建区,6.0,JAVA应用工程师
1-1.5万/月,96442086,10.0,深圳市万利互联网金融服务有限公司,12-02,深圳-南山区,15.0,高级测试工程师
1-1.5万/月,96427641,10.0,北京光宇在线科技有限责任公司,12-02,北京,15.0,高级运维工程师
1-1.5万/月,95736519,10.0,北京阿拉丁立方信息技术有限公司,12-02,北京-朝阳区,15.0,爬虫工程师
0.6-1万/月,88378178,6.0,北京东威创星科技有限公司,12-02,北京-怀柔区,10.0,Linux运维工程师
0.8-1万/月,87447313,8.0,北京华大智宝电子系统有限公司,12-02,北京-朝阳区,10.0,软件设计工程师
