company,create_time,job_city,job_id,job_name,key_word,salary,salary_avg,salary_max,salary_min
广东中科华冉智网科技有限公司,2018-05-02 00:00:00,东莞,100488155,硬件开发工程师,单片机,6-8千/月,11.0,8.0,6.0
记忆科技（深圳）有限公司,2018-05-02 00:00:00,东莞-松山湖区,89914830,测试软件开发高级工程师,单片机,1-2.5万/月,30.0,25.0,10.0
东莞市佰德威光照明有限公司,2018-05-02 00:00:00,东莞,91172646,电子软件开发工程师,单片机,0.8-1.3万/月,17.0,13.0,8.0
深圳市易百珑科技有限公司,2018-05-02 00:00:00,东莞-黄江镇,85603753,电子工程师/技术员,单片机,1-2万/月,25.0,20.0,10.0
宁德新能源科技有限公司,2018-04-28 00:00:00,东莞,99261499,BMS软件开发工程师,单片机,12-30万/年,30.0,25.0,10.0
宁德新能源科技有限公司,2018-04-28 00:00:00,东莞,96931376,BMS测试工程师,单片机,12-16万/年,18.33,13.333333333333334,10.0
宁德新能源科技有限公司,2018-04-28 00:00:00,东莞,98770625,软件工程师（NVT）,单片机,12-30万/年,30.0,25.0,10.0
宁德新能源科技有限公司,2018-04-28 00:00:00,东莞,99261453,系统工程师,单片机,12-30万/年,30.0,25.0,10.0
东莞威雅利实业有限公司,2018-04-28 00:00:00,东莞-长安镇,99328470,TE工程师(沙头）,单片机,5-8千/月,10.5,8.0,5.0
东莞威雅利实业有限公司,2018-04-28 00:00:00,东莞-长安镇,99327979,TE高级工程师（沙头）,单片机,6.5-9千/月,12.25,9.0,6.5
东莞威雅利实业有限公司,2018-04-28 00:00:00,东莞-长安镇,97622321,电子技术员,单片机,3-4.5千/月,6.0,4.5,3.0
东莞威雅利实业有限公司,2018-04-28 00:00:00,东莞-长安镇,95356010,电子测试工程师,单片机,7-8.5千/月,12.0,8.5,7.0
东莞市林积为实业投资有限公司,2018-04-28 00:00:00,东莞-凤岗镇,86248503,电子结构工程师,单片机,6-8千/月,11.0,8.0,6.0
广东天浩科技有限公司,2018-04-27 00:00:00,东莞-东城区,101367754,硬件工程师,单片机,4.5-6千/月,8.25,6.0,4.5
东莞钜威动力技术有限公司,2018-04-26 00:00:00,东莞,97685399,BMS建模工程师,单片机,1-1.8万/月,23.0,18.0,10.0
东莞钜威动力技术有限公司,2018-04-26 00:00:00,东莞,71506868,嵌入式软件工程师,单片机,0.8-1.6万/月,20.0,16.0,8.0
东莞市富之源饲料蛋白开发有限公司,2018-04-25 00:00:00,东莞,97643497,电修工程师,单片机,3-5千/月,6.5,5.0,3.0
广东东阳光药业有限公司,2018-04-25 00:00:00,东莞-长安镇,99580154,高级硬件工程师,单片机,1-1.5万/月,20.0,15.0,10.0
广东东阳光药业有限公司,2018-04-25 00:00:00,东莞-长安镇,99579938,嵌入式软件工程师,单片机,0.8-1万/月,14.0,10.0,8.0
东莞市猎声电子科技有限公司,2018-04-25 00:00:00,东莞-南城区,77819871,嵌入式软件工程师,单片机,0.8-1.5万/月,19.0,15.0,8.0
东莞市万江文智电子技术服务部,2018-04-24 00:00:00,东莞,40410568,硬件工程师,单片机,6-8千/月,11.0,8.0,6.0
东莞市嘉准激光设备科技有限公司,2018-05-05 00:00:00,东莞-南城区,91193269,销售代表,C++,0.8-1万/月,14.0,10.0,8.0
照彰实业（东莞）有限公司,2018-05-05 00:00:00,东莞,58534159,机械工程师,C++,4.5-6千/月,8.25,6.0,4.5
深圳市赢合科技股份有限公司,2018-05-05 00:00:00,东莞,97441223,MES工程师,C++,1-1.5万/月,20.0,15.0,10.0
江苏艾锐博精密金属科技有限公司,2018-05-05 00:00:00,东莞-大岭山镇,83429923,自动化工程师,C++,6-9千/月,12.0,9.0,6.0
东莞市库珀电子有限公司,2018-05-05 00:00:00,东莞-凤岗镇,92503414,高级开发工程师,C++,1.5-2万/月,27.5,20.0,15.0
广东长盈精密技术有限公司,2018-05-05 00:00:00,东莞,97758519,编程工程师,C++,1.1-1.3万/月,18.5,13.0,11.0
东莞市森动律电子有限公司,2018-05-05 00:00:00,东莞,92223227,海外亚马逊运营经理,C++,1-1.8万/月,23.0,18.0,10.0
